site_id,all_datetime,value
03805_PRV_2,2019-11-28 00:00:00,30.92
03805_PRV_2,2019-11-28 00:15:00,28.04
03805_PRV_2,2019-11-28 00:30:00,24.24
03805_PRV_2,2019-11-28 00:45:00,24.92
03805_PRV_2,2019-11-28 01:00:00,22.68
03805_PRV_2,2019-11-28 01:15:00,21.68
03805_PRV_2,2019-11-28 01:30:00,20.2
03805_PRV_2,2019-11-28 01:45:00,21.2
03805_PRV_2,2019-11-28 02:00:00,20.88
03805_PRV_2,2019-11-28 02:15:00,19.36
03805_PRV_2,2019-11-28 02:30:00,19.84
03805_PRV_2,2019-11-28 02:45:00,19.2
03805_PRV_2,2019-11-28 03:00:00,20.44
03805_PRV_2,2019-11-28 03:15:00,19.52
03805_PRV_2,2019-11-28 03:30:00,20.28
03805_PRV_2,2019-11-28 03:45:00,20.8
03805_PRV_2,2019-11-28 04:00:00,19.96
03805_PRV_2,2019-11-28 04:15:00,23
03805_PRV_2,2019-11-28 04:30:00,23
03805_PRV_2,2019-11-28 04:45:00,23.68
03805_PRV_2,2019-11-28 05:00:00,27.92
03805_PRV_2,2019-11-28 05:15:00,28.08
03805_PRV_2,2019-11-28 05:30:00,29.64
03805_PRV_2,2019-11-28 05:45:00,32.4
03805_PRV_2,2019-11-28 06:00:00,35.96
03805_PRV_2,2019-11-28 06:15:00,43.56
03805_PRV_2,2019-11-28 06:30:00,48.36
03805_PRV_2,2019-11-28 06:45:00,53.72
03805_PRV_2,2019-11-28 07:00:00,63.12
03805_PRV_2,2019-11-28 07:15:00,70.2
03805_PRV_2,2019-11-28 07:30:00,76.44
03805_PRV_2,2019-11-28 07:45:00,76.64
03805_PRV_2,2019-11-28 08:00:00,77.4
03805_PRV_2,2019-11-28 08:15:00,74.16
03805_PRV_2,2019-11-28 08:30:00,77.08
03805_PRV_2,2019-11-28 08:45:00,62.48
03805_PRV_2,2019-11-28 09:00:00,60.84
03805_PRV_2,2019-11-28 09:15:00,60.56
03805_PRV_2,2019-11-28 09:30:00,60.44
03805_PRV_2,2019-11-28 09:45:00,60.64
03805_PRV_2,2019-11-28 10:00:00,64.2
03805_PRV_2,2019-11-28 10:15:00,61.32
03805_PRV_2,2019-11-28 10:30:00,56.08
03805_PRV_2,2019-11-28 10:45:00,57.4
03805_PRV_2,2019-11-28 11:00:00,63.28
03805_PRV_2,2019-11-28 11:15:00,52.2
03805_PRV_2,2019-11-28 11:30:00,55.44
03805_PRV_2,2019-11-28 11:45:00,59.24
03805_PRV_2,2019-11-28 12:00:00,55.32
03805_PRV_2,2019-11-28 12:15:00,56
03805_PRV_2,2019-11-28 12:30:00,58.64
03805_PRV_2,2019-11-28 12:45:00,50.48
03805_PRV_2,2019-11-28 13:00:00,59
03805_PRV_2,2019-11-28 13:15:00,59.52
03805_PRV_2,2019-11-28 13:30:00,56
03805_PRV_2,2019-11-28 13:45:00,57.8
03805_PRV_2,2019-11-28 14:00:00,53.36
03805_PRV_2,2019-11-28 14:15:00,57.08
03805_PRV_2,2019-11-28 14:30:00,59.12
03805_PRV_2,2019-11-28 14:45:00,58.04
03805_PRV_2,2019-11-28 15:00:00,55.84
03805_PRV_2,2019-11-28 15:15:00,50.4
03805_PRV_2,2019-11-28 15:30:00,54.08
03805_PRV_2,2019-11-28 15:45:00,58.2
03805_PRV_2,2019-11-28 16:00:00,60.2
03805_PRV_2,2019-11-28 16:15:00,60.04
03805_PRV_2,2019-11-28 16:30:00,58.4
03805_PRV_2,2019-11-28 16:45:00,60.2
03805_PRV_2,2019-11-28 17:00:00,63.72
03805_PRV_2,2019-11-28 17:15:00,68.8
03805_PRV_2,2019-11-28 17:30:00,67.6
03805_PRV_2,2019-11-28 17:45:00,65.32
03805_PRV_2,2019-11-28 18:00:00,70.84
03805_PRV_2,2019-11-28 18:15:00,
03805_PRV_2,2019-11-28 18:30:00,
03805_PRV_2,2019-11-28 18:45:00,
03805_PRV_2,2019-11-28 19:00:00,
03805_PRV_2,2019-11-28 19:15:00,
03805_PRV_2,2019-11-28 19:30:00,
03805_PRV_2,2019-11-28 19:45:00,
03805_PRV_2,2019-11-28 20:00:00,
03805_PRV_2,2019-11-28 20:15:00,
03805_PRV_2,2019-11-28 20:30:00,
03805_PRV_2,2019-11-28 20:45:00,
03805_PRV_2,2019-11-28 21:00:00,
03805_PRV_2,2019-11-28 21:15:00,
03805_PRV_2,2019-11-28 21:30:00,
03805_PRV_2,2019-11-28 21:45:00,
03805_PRV_2,2019-11-28 22:00:00,
03805_PRV_2,2019-11-28 22:15:00,
03805_PRV_2,2019-11-28 22:30:00,
03805_PRV_2,2019-11-28 22:45:00,
03805_PRV_2,2019-11-28 23:00:00,
03805_PRV_2,2019-11-28 23:15:00,
03805_PRV_2,2019-11-28 23:30:00,
03805_PRV_2,2019-11-28 23:45:00,
03805_PRV_2,2019-11-29 00:00:00,
03805_PRV_2,2019-11-29 00:15:00,
03805_PRV_2,2019-11-29 00:30:00,
03805_PRV_2,2019-11-29 00:45:00,
03805_PRV_2,2019-11-29 01:00:00,
03805_PRV_2,2019-11-29 01:15:00,
03805_PRV_2,2019-11-29 01:30:00,
03805_PRV_2,2019-11-29 01:45:00,
03805_PRV_2,2019-11-29 02:00:00,
03805_PRV_2,2019-11-29 02:15:00,
03805_PRV_2,2019-11-29 02:30:00,
03805_PRV_2,2019-11-29 02:45:00,
03805_PRV_2,2019-11-29 03:00:00,
03805_PRV_2,2019-11-29 03:15:00,
03805_PRV_2,2019-11-29 03:30:00,
03805_PRV_2,2019-11-29 03:45:00,
